STATION_ID,STATION,FHB_DT,DPPT7,T15307,FHB_V1_Index,FHB_V1_Risk
201,Treherne,2019-08-20 07:00,2,110,3.36,low
202,Starbuck,2019-08-20 07:00,7,114,12.18,moderate
203,St. Pierre,2019-08-20 07:00,6,120,10.99,low
204,Gladstone,2019-08-20 07:00,5,113,8.62,low
205,Moosehorn,2019-08-20 07:00,6,109,9.98,low
206,Arborg,2019-08-20 07:00,3,118,5.40,low
207,Teulon,2019-08-20 07:00,7,118,12.61,moderate
208,Souris,2019-08-20 07:00,0,95,0.00,low
209,Boissevain,2019-08-20 07:00,2,90,2.75,low
210,Selkirk,2019-08-20 07:00,4,115,7.02,low
211,Ste. Rose,2019-08-20 07:00,6,103,9.43,low
212,Carman,2019-08-20 07:00,5,122,9.31,low
213,Ethelbert,2019-08-20 07:00,4,86,5.25,low
214,Hamiota,2019-08-20 07:00,6,81,7.42,low
215,Russell,2019-08-20 07:00,6,74,6.78,low
216,Birtle,2019-08-20 07:00,2,73,2.23,low
217,Dugald,2019-08-20 07:00,7,114,12.18,moderate
218,Eriksdale,2019-08-20 07:00,5,113,8.62,low
219,Grandview,2019-08-20 07:00,3,79,3.62,low
220,Killarney,2019-08-20 07:00,7,106,11.32,low
221,Minnedosa,2019-08-20 07:00,3,91,4.17,low
222,Morris,2019-08-20 07:00,8,120,14.65,moderate
223,Steinbach,2019-08-20 07:00,3,131,6.00,low
224,Virden,2019-08-20 07:00,4,93,5.68,low
225,Woodlands,2019-08-20 07:00,3,115,5.27,low
230,Winkler,2019-08-20 07:00,7,129,13.78,moderate
231,Swan Valley,2019-08-20 07:00,3,78,3.57,low
232,Pierson,2019-08-20 07:00,0,95,0.00,low
233,Forrest,2019-08-20 07:00,6,90,8.24,low
235,Portage,2019-08-20 07:00,4,130,7.94,low
237,Elm Creek,2019-08-20 07:00,2,119,3.63,low
239,Glenboro,2019-08-20 07:00,4,106,6.47,low
240,Wawanesa,2019-08-20 07:00,10,104,15.87,moderate
241,Deloraine,2019-08-20 07:00,3,100,4.58,low
242,Manitou,2019-08-20 07:00,8,100,12.21,moderate
243,StAdolphe,2019-08-20 07:00,8,119,14.53,moderate
244,Altona,2019-08-20 07:00,6,123,11.26,low
245,RestonWADO,2019-08-20 07:00,0,97,0.00,low
246,Somerset,2019-08-20 07:00,3,99,4.53,low
251,Beausejour,2019-08-20 07:00,5,109,8.32,low
252,Narcisse,2019-08-20 07:00,3,111,5.08,low
253,Alonsa,2019-08-20 07:00,5,103,7.86,low
255,Menisino,2019-08-20 07:00,10,103,15.72,moderate
314,Carberry,2019-08-20 07:00,4,99,6.04,low
501,Clearwater,2019-08-20 07:00,8,100,12.21,moderate
502,Cartwright,2019-08-20 07:00,10,101,15.42,moderate
503,Baldur,2019-08-20 07:00,6,107,9.80,low
504,Findlay,2019-08-20 07:00,1,99,1.51,low
505,Argue,2019-08-20 07:00,2,94,2.87,low
506,Minto,2019-08-20 07:00,9,88,12.09,moderate
507,Waskada,2019-08-20 07:00,0,96,0.00,low
508,Mountainside,2019-08-20 07:00,1,97,1.48,low
509,Ninette,2019-08-20 07:00,3,91,4.17,low
510,Minitonas,2019-08-20 07:00,1,82,1.25,low
512,Drifting River,2019-08-20 07:00,4,92,5.62,low
513,Windygates,2019-08-20 07:00,7,89,9.51,low
514,Snowflake,2019-08-20 07:00,8,93,11.36,low
515,Taylor's Point,2019-08-20 07:00,3,116,5.31,low
516,Inwood,2019-08-20 07:00,6,118,10.81,low
517,Fisherton,2019-08-20 07:00,2,109,3.33,low
518,Gardenton,2019-08-20 07:00,8,117,14.29,moderate
519,Zhoda,2019-08-20 07:00,9,115,15.80,moderate
520,Ruthenia,2019-08-20 07:00,4,73,4.46,low
521,Vivian,2019-08-20 07:00,8,117,14.29,moderate
522,Elma,2019-08-20 07:00,6,110,10.07,low
523,Oakburn,2019-08-20 07:00,3,64,2.93,low
524,Kane,2019-08-20 07:00,8,125,15.26,moderate
525,Inglis,2019-08-20 07:00,3,58,2.66,low
526,Pipe Lake,2019-08-20 07:00,3,81,3.71,low
527,San Clara,2019-08-20 07:00,3,62,2.84,low
528,Rorketon,2019-08-20 07:00,4,107,6.53,low
529,St Lazare,2019-08-20 07:00,3,75,3.43,low
530,Brunkild,2019-08-20 07:00,5,112,8.55,low
531,Kola,2019-08-20 07:00,2,91,2.78,low
532,Keld,2019-08-20 07:00,5,95,7.25,low
533,Austin,2019-08-20 07:00,3,116,5.31,low
534,Bagot,2019-08-20 07:00,5,109,8.32,low
535,Dominion City,2019-08-20 07:00,6,109,9.98,low
536,Elie,2019-08-20 07:00,6,108,9.89,low
537,Marchand,2019-08-20 07:00,3,102,4.67,low
538,Rosa,2019-08-20 07:00,6,109,9.98,low
539,Lakeland,2019-08-20 07:00,3,116,5.31,low
540,Plumas,2019-08-20 07:00,7,101,10.79,low
541,Newdale,2019-08-20 07:00,4,78,4.76,low
542,Dand,2019-08-20 07:00,1,98,1.50,low
543,Sinclair,2019-08-20 07:00,1,92,1.40,low
544,Alexander,2019-08-20 07:00,7,93,9.94,low
545,Eden,2019-08-20 07:00,4,119,7.26,low
546,McAuley,2019-08-20 07:00,2,83,2.53,low
547,Miniota,2019-08-20 07:00,6,84,7.69,low
548,Kenton,2019-08-20 07:00,5,87,6.64,low
549,Lake Audy,2019-08-20 07:00,3,74,3.39,low
550,Rivers,2019-08-20 07:00,7,88,9.40,low
551,Neepawa,2019-08-20 07:00,3,98,4.49,low
552,Reedy Creek,2019-08-20 07:00,2,108,3.30,low
553,Laurier,2019-08-20 07:00,2,110,3.36,low
554,St. Claude,2019-08-20 07:00,3,126,5.77,low
555,Stonewall,2019-08-20 07:00,5,117,8.93,low
556,Lake Francis,2019-08-20 07:00,8,115,14.04,moderate
557,Lac du Bonnet,2019-08-20 07:00,6,111,10.16,low
558,Shilo,2019-08-20 07:00,9,96,13.19,moderate
559,Holland,2019-08-20 07:00,5,109,8.32,low
560,Prawda,2019-08-20 07:00,6,105,9.62,low
561,Sprague Lake,2019-08-20 07:00,12,105,19.23,moderate
562,Poplarfield,2019-08-20 07:00,3,115,5.27,low
563,Birch River,2019-08-20 07:00,4,80,4.88,low
740,Bede,2019-08-20 07:00,0,97,0.00,low
